drug_name	active_ingredients
ENOVID	MESTRANOL; NORETHYNODREL
ENOVID-E	MESTRANOL; NORETHYNODREL
ENOVID-E 21	MESTRANOL; NORETHYNODREL
DARVON W/ ASA	ASPIRIN; PROPOXYPHENE HYDROCHLORIDE
DARVON COMPOUND	ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
DARVON COMPOUND-65	ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
MILPREM-400	ESTROGENS, CONJUGATED; MEPROBAMATE
MILPREM-200	ESTROGENS, CONJUGATED; MEPROBAMATE
DEPINAR	CYANOCOBALAMIN; TANNIC ACID; ZINC ACETATE
GASTROGRAFIN	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE	DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE
SINOGRAFIN	DIATRIZOATE MEGLUMINE; IODIPAMIDE MEGLUMINE
SYNALGOS-DC	ASPIRIN; CAFFEINE; DIHYDROCODEINE BITARTRATE
ADDERALL 10	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL 20	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL 5	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL 30	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL 7.5	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL 12.5	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL 15	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
DIUPRES-250	CHLOROTHIAZIDE; RESERPINE
DIUPRES-500	CHLOROTHIAZIDE; RESERPINE
EQUAGESIC	ASPIRIN; MEPROBAMATE
MEPERGAN	MEPERIDINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
SERPASIL-ESIDRIX #1	HYDROCHLOROTHIAZIDE; RESERPINE
SERPASIL-ESIDRIX #2	HYDROCHLOROTHIAZIDE; RESERPINE
VIRAC REX	LAPYRIUM CHLORIDE; UNDECOYLIUM CHLORIDE IODINE COMPLEX
HYDROPRES 25	HYDROCHLOROTHIAZIDE; RESERPINE
HYDROPRES 50	HYDROCHLOROTHIAZIDE; RESERPINE
APRESOLINE-ESIDRIX	HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
CARBOCAINE W/ NEO-COBEFRIN	LEVONORDEFRIN; MEPIVACAINE HYDROCHLORIDE
ORETICYL 25	DESERPIDINE; HYDROCHLOROTHIAZIDE
ORETICYL FORTE	DESERPIDINE; HYDROCHLOROTHIAZIDE
ORETICYL 50	DESERPIDINE; HYDROCHLOROTHIAZIDE
SER-AP-ES	HYDRALAZINE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE; RESERPINE
NAQUIVAL	RESERPINE; TRICHLORMETHIAZIDE
ROBAXISAL	ASPIRIN; METHOCARBAMOL
SALUTENSIN	HYDROFLUMETHIAZIDE; RESERPINE
SALUTENSIN-DEMI	HYDROFLUMETHIAZIDE; RESERPINE
SOMA COMPOUND	ASPIRIN; CARISOPRODOL
SOMA COMPOUND W/ CODEINE	ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE
COLBENEMID	COLCHICINE; PROBENECID
DISOPHROL	DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
LOMOTIL	ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE
ACTIFED W/ CODEINE	CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE
ALDACTAZIDE	HYDROCHLOROTHIAZIDE; SPIRONOLACTONE
DIUTENSEN-R	METHYCLOTHIAZIDE; RESERPINE
ORTHO-NOVUM 10-21	MESTRANOL; NORETHINDRONE
ORTHO-NOVUM 1/50 21	MESTRANOL; NORETHINDRONE
ORTHO-NOVUM 2-21	MESTRANOL; NORETHINDRONE
LIBRAX	CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE
VOSOL HC	ACETIC ACID, GLACIAL; HYDROCORTISONE
ENDURONYL	DESERPIDINE; METHYCLOTHIAZIDE
ENDURONYL FORTE	DESERPIDINE; METHYCLOTHIAZIDE
BLEPHAMIDE	PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM
METATENSIN #2	RESERPINE; TRICHLORMETHIAZIDE
METATENSIN #4	RESERPINE; TRICHLORMETHIAZIDE
THAM-E	POTASSIUM CHLORIDE; SODIUM CHLORIDE; TROMETHAMINE
AZO GANTANOL	PHENAZOPYRIDINE HYDROCHLORIDE; SULFAMETHOXAZOLE
DUO-MEDIHALER	ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE
DECADRON W/ XYLOCAINE	DEXAMETHASONE SODIUM PHOSPHATE; LIDOCAINE HYDROCHLORIDE
ALDORIL 15	HYDROCHLOROTHIAZIDE; METHYLDOPA
ALDORIL 25	HYDROCHLOROTHIAZIDE; METHYLDOPA
ALDORIL D30	HYDROCHLOROTHIAZIDE; METHYLDOPA
ALDORIL D50	HYDROCHLOROTHIAZIDE; METHYLDOPA
NORGESIC	ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE
NORGESIC FORTE	ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE
DRIXORAL	DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
ESIMIL	GUANETHIDINE MONOSULFATE; HYDROCHLOROTHIAZIDE
NORINYL 1+50 21-DAY	MESTRANOL; NORETHINDRONE
NORINYL	MESTRANOL; NORETHINDRONE
RENESE-R	POLYTHIAZIDE; RESERPINE
HYDROMOX R	QUINETHAZONE; RESERPINE
CELESTONE SOLUSPAN	BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE
ETRAFON-A	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
ETRAFON 2-25	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
ETRAFON-FORTE	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
ETRAFON 2-10	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
TRIAVIL 2-25	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
TRIAVIL 4-10	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
TRIAVIL 2-10	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
TRIAVIL 4-25	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
TRIAVIL 4-50	AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE
MENRIUM 5-2	CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED
MENRIUM 5-4	CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED
MENRIUM 10-4	CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED
CITANEST FORTE	EPINEPHRINE BITARTRATE; PRILOCAINE HYDROCHLORIDE
ARALEN PHOSPHATE W/ PRIMAQUINE PHOSPHATE	CHLOROQUINE PHOSPHATE; PRIMAQUINE PHOSPHATE
REGROTON	CHLORTHALIDONE; RESERPINE
DEMI-REGROTON	CHLORTHALIDONE; RESERPINE
ALDOCLOR-150	CHLOROTHIAZIDE; METHYLDOPA
ALDOCLOR-250	CHLOROTHIAZIDE; METHYLDOPA
OVULEN	ETHYNODIOL DIACETATE; MESTRANOL
OVULEN-21	ETHYNODIOL DIACETATE; MESTRANOL
DYAZIDE	HYDROCHLOROTHIAZIDE; TRIAMTERENE
EUTRON	METHYCLOTHIAZIDE; PARGYLINE HYDROCHLORIDE
INNOVAR	DROPERIDOL; FENTANYL CITRATE
RUBRATOPE-57 KIT	COBALT CHLORIDE CO-57; CYANOCOBALAMIN; CYANOCOBALAMIN CO-57; INTRINSIC FACTOR
RUBRATOPE-60 KIT	COBALT CHLORIDE CO-60; CYANOCOBALAMIN; CYANOCOBALAMIN CO-60; INTRINSIC FACTOR
CYANOCOBALAMIN CO 57 SCHILLING TEST KIT	CYANOCOBALAMIN; CYANOCOBALAMIN CO-57; INTRINSIC FACTOR
NORINYL 1+50 28-DAY	MESTRANOL; NORETHINDRONE
OVRAL	ETHINYL ESTRADIOL; NORGESTREL
DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
LACTATED RINGER'S AND DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
EUTHROID-0.5	LIOTRIX (T4;T3)
EUTHROID-1	LIOTRIX (T4;T3)
EUTHROID-2	LIOTRIX (T4;T3)
EUTHROID-3	LIOTRIX (T4;T3)
LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DEXTROSE 5% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 5% IN SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 5% IN SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
DEXTROSE 10% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 2.5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
OVULEN-28	ETHYNODIOL DIACETATE; MESTRANOL
ORTHO-NOVUM 1/50 28	MESTRANOL; NORETHINDRONE
ORTHO-NOVUM 1/80 21	MESTRANOL; NORETHINDRONE
ORTHO-NOVUM 1/80 28	MESTRANOL; NORETHINDRONE
NORLESTRIN 28 1/50	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
NORINYL 1+80 21-DAY	MESTRANOL; NORETHINDRONE
NORINYL 1+80 28-DAY	MESTRANOL; NORETHINDRONE
NORLESTRIN 21 1/50	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
NORLESTRIN FE 1/50	ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE
VASCORAY	IOTHALAMATE MEGLUMINE; IOTHALAMATE SODIUM
OVRAL-28	ETHINYL ESTRADIOL; NORGESTREL
THYROLAR-0.25	LIOTRIX (T4;T3)
THYROLAR-2	LIOTRIX (T4;T3)
THYROLAR-3	LIOTRIX (T4;T3)
THYROLAR-1	LIOTRIX (T4;T3)
THYROLAR-0.5	LIOTRIX (T4;T3)
THYROLAR-5	LIOTRIX (T4;T3)
FREAMINE III 3% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
FREAMINE III 8.5% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE
DARVON-N W/ ASA	ASPIRIN; PROPOXYPHENE NAPSYLATE
DARVOCET	ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE
ISOPAQUE 440	CALCIUM METRIZOATE; MEGLUMINE METRIZOATE; METRIZOATE MAGNESIUM; METRIZOATE SODIUM
NORLESTRIN 21 2.5/50	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
NORLESTRIN FE 2.5/50	ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE
TALWIN COMPOUND	ASPIRIN; PENTAZOCINE HYDROCHLORIDE
DEMULEN 1/50-21	ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
DEMULEN 1/50-28	ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
LIMBITROL	AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE
LIMBITROL DS	AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE	BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE PRESERVATIVE FREE	BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
DARVOCET-N 50	ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE
DARVOCET-N 100	ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE
LOESTRIN FE 1/20	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
LOESTRIN FE 1.5/30	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
MUCOMYST W/ ISOPROTERENOL	ACETYLCYSTEINE; ISOPROTERENOL HYDROCHLORIDE
SEPTRA	SULFAMETHOXAZOLE; TRIMETHOPRIM
SEPTRA DS	SULFAMETHOXAZOLE; TRIMETHOPRIM
BACTRIM	SULFAMETHOXAZOLE; TRIMETHOPRIM
BACTRIM DS	SULFAMETHOXAZOLE; TRIMETHOPRIM
PLASMA-LYTE 148 IN WATER IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
PLASMA-LYTE A IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
PLASMA-LYTE 56 AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE
PLASMA-LYTE M AND DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE
DICOPAC KIT	CYANOCOBALAMIN; CYANOCOBALAMIN CO-57; CYANOCOBALAMIN CO-58
PLASMA-LYTE R IN PLASTIC CONTAINER	CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM LACTATE
PLASMA-LYTE 148 AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
DEXTROSE 5% AND ELECTROLYTE NO. 48 IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE
MODICON 21	ETHINYL ESTRADIOL; NORETHINDRONE
ORTHO-NOVUM 1/35-21	ETHINYL ESTRADIOL; NORETHINDRONE
TRAVASOL 5.5% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 8.5% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 3.5% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
COMBIPRES	CHLORTHALIDONE; CLONIDINE HYDROCHLORIDE
ISOPAQUE 280	CALCIUM; MEGLUMINE; METRIZOIC ACID
DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL 137 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL 137 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL 137 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-1 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-1 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-1 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-1 W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL PD-2 W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
FIORINAL	ASPIRIN; BUTALBITAL; CAFFEINE
SINEMET	CARBIDOPA; LEVODOPA
BACTRIM PEDIATRIC	SULFAMETHOXAZOLE; TRIMETHOPRIM
NORINYL 1+35 21-DAY	ETHINYL ESTRADIOL; NORETHINDRONE
NORINYL 1+35 28-DAY	ETHINYL ESTRADIOL; NORETHINDRONE
BREVICON 21-DAY	ETHINYL ESTRADIOL; NORETHINDRONE
OVCON-50	ETHINYL ESTRADIOL; NORETHINDRONE
DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
NORMOSOL-R IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
SEPTRA GRAPE	SULFAMETHOXAZOLE; TRIMETHOPRIM
DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	DEXTROSE; SODIUM CHLORIDE
DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
NORMOSOL-R AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
NORMOSOL-M AND DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE
LO/OVRAL	ETHINYL ESTRADIOL; NORGESTREL
DEXTROSE 5% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
DEXTROSE 5% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
DEXTROSE 5% AND POTASSIUM CHLORIDE 0.224% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
DEXTROSE 5% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE
SORBITOL-MANNITOL IN PLASTIC CONTAINER	MANNITOL; SORBITOL
PHYSIOSOL IN PLASTIC CONTAINER	MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
PERGONAL	MENOTROPINS (FSH;LH)
POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.3% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.224% IN SODIUM CHLORIDE 0.9%	POTASSIUM CHLORIDE; SODIUM CHLORIDE
SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER	POTASSIUM CHLORIDE; SODIUM CHLORIDE
AMINOSYN 8.5% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
AMINOSYN 8.5% W/ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC
OVCON-35	ETHINYL ESTRADIOL; NORETHINDRONE
MODICON 28	ETHINYL ESTRADIOL; NORETHINDRONE
BREVICON 28-DAY	ETHINYL ESTRADIOL; NORETHINDRONE
MOTOFEN HALF-STRENGTH	ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE
MOTOFEN	ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE
DURANEST	EPINEPHRINE BITARTRATE; ETIDOCAINE HYDROCHLORIDE
AMINOSYN 7% W/ ELECTROLYTES	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE
